11958.728 0			            0.0019986894	-0.00078526863      0		      -0.0015887138  6.5033731e-05     0.0001748388	  0.0025237214  -0.00078526863
11960.746 0			            0.00192608  	-0.00076879486      0		      -0.0016083536  0.00068067491     0.0001748388	  0.0025237214  -0.00076879486
11962.763 0			            0.0018523235	-0.0007234646	    0		      -0.0016328752  0.0013162656      0.0001748388	  0.0025237214  -0.0007234646
11964.781 0			            0.0017769575	-0.00064927786      0		      -0.0016633198  0.0019440095      0.0001748388	  0.0025237214  -0.00064927786
11966.799 0			            0.0016999825	-0.00054623594      0		      -0.0016973367  0.0025459203      0.0001748388	  0.0025237214  -0.00054623594
11968.817 0			            0.0016213994	-0.00041434074      0		      -0.0017323364  0.0031078226      0.0001748388	  0.0025237214  -0.00041434074
11970.835 0			            0.0015412085	-0.00025714911      0		      -0.0017672796  0.0036009177      0.0001748388	  0.0025237214  -0.00025714911
11972.853 0			            0.0014594108	-7.9251607e-05      0		      -0.0018018739  0.0039693991      0.0001748388	  0.0025237214  -7.9251607e-05
11974.871 0			            0.00137601  	0.00011753148	    0		      -0.0018353826  0.0041826896      0.0001748388	  0.0025237214  0.00011753148
11976.889 0			            0.0012910565	0.00032187587	    0		      -0.0018655335  0.0042382538      0.0001748388	  0.0025237214  0.00032187587
11978.907 0			            0.0012045987	0.0005197911	    0		      -0.00188969    0.0041161294      0.0001748388	  0.0025237214  0.0005197911
11980.925 0			            0.0011169263	0.00070782163	    0		      -0.0019069611  0.0038156906      0.0001748388	  0.0025237214  0.00070782163
11982.943 0			            0.0010287918	0.00088012693	    0		      -0.0019175654  0.0033843337      0.0001748388	  0.0025237214  0.00088012693
11984.961 0			            0.0009406573	0.0010270706	    0		      -0.0019222446  0.0028604818      0.0001748388	  0.0025237214  0.0010270706
11986.979 0			            0.00085252223	0.001144856	    0		      -0.0019226468  0.0022646112      0.0001748388	  0.0025237214  0.001144856
11988.997 0			            0.00076438579	0.0012334852	    0		      -0.0019179189  0.0016308002      0.0001748388	  0.0025237214  0.0012334852
11991.015 0			            0.00067624772	0.0012929586	    0		      -0.0019039353  0.00099190404     0.0001748388	  0.0025237214  0.0012929586
11993.033 0			            0.00058839406	0.0013232747	    0		      -0.0018749263  0.00037044138     0.0001748388	  0.0025237214  0.0013232747
11995.051 0			            0.00050214424	0.0013244322	    0		      -0.0018206353  -0.00021509823    0.0001748388	  0.0025237214  0.0013244322
11997.069 0			            0.00041853109	0.0012979177	    0		      -0.0017317236  -0.00074424063    0.0001748388	  0.0025237214  0.0012979177
11999.087 0			            0.00033916442	0.0012486739	    0		      -0.0016084667  -0.0011828944     0.0001748388	  0.0025237214  0.0012486739
12001.105 0			            0.00026713278	0.0011801557	    0		      -0.0014559981  -0.0015047473     0.0001748388	  0.0025237214  0.0011801557
